LotArea	YearBuilt	YrSold	SalePrice
8450	2003	2008	208500
9600	1976	2007	181500
11250	2001	2008	223500
9550	1915	2006	140000
14260	2000	2008	250000
14115	1993	2009	143000
10084	2004	2007	307000
10382	1973	2009	200000
6120	1931	2008	129900
7420	1939	2008	118000
11200	1965	2008	129500
11924	2005	2006	345000
12968	1962	2008	144000
10652	2006	2007	279500
10920	1960	2008	157000
6120	1929	2007	132000
11241	1970	2010	149000
10791	1967	2006	90000
13695	2004	2008	159000
7560	1958	2009	139000
14215	2005	2006	325300
7449	1930	2007	139400
9742	2002	2008	230000
4224	1976	2007	129900
8246	1968	2010	154000
14230	2007	2009	256300
7200	1951	2010	134800
11478	2007	2010	306000
16321	1957	2006	207500
6324	1927	2008	68500
8500	1920	2008	40000
8544	1966	2008	149350
11049	2007	2008	179900
10552	1959	2010	165500
7313	2005	2007	277500
13418	2004	2006	309000
10859	1994	2009	145000
8532	1954	2009	153000
7922	1953	2010	109000
6040	1955	2008	82000
8658	1965	2006	160000
16905	1959	2007	170000
9180	1983	2007	144000
9200	1975	2008	130250
7945	1959	2006	141000
7658	2005	2010	319900
12822	2003	2009	239686
11096	2006	2007	249700
4456	1920	2009	113000
7742	1966	2007	127000
13869	1997	2007	177000
6240	1934	2006	114500
8472	1963	2010	110000
50271	1981	2006	385000
7134	1955	2007	130000
10175	1964	2008	180500
2645	1999	2009	172500
11645	2004	2006	196500
13682	2006	2006	438780
7200	1972	2008	124900
13072	2004	2006	158000
7200	1920	2007	101000
6442	2006	2007	202500
10300	1921	2010	140000
9375	1997	2009	219500
9591	2004	2007	317000
19900	1970	2010	180000
10665	2003	2007	226000
4608	1945	2010	80000
15593	1953	2006	225000
13651	1973	2007	244000
7599	1982	2007	129500
10141	1998	2009	185000
10200	1954	2010	144900
5790	1915	2010	107400
1596	1973	2009	91000
8475	1956	2008	135750
8635	1948	2008	127000
10778	1968	2010	136500
10440	1910	2009	110000
13000	1968	2009	193500
4500	1998	2006	153500
10206	2007	2008	245000
8892	1960	2007	126500
8530	1995	2009	168500
16059	1991	2006	260000
11911	2005	2009	174000
3951	2009	2009	164500
8470	1915	2009	85000
8070	1994	2007	123600
7200	1950	2006	109900
8500	1961	2006	98600
13360	1921	2009	163500
7200	1910	2007	133900
9337	1997	2007	204750
9765	1993	2009	185000
10264	1999	2006	214000
10921	1965	2007	94750
10625	1920	2010	83000
9320	1959	2010	128950
10603	1977	2010	205000
9206	1985	2010	178000
7018	1979	2009	118964
10402	2009	2010	198900
7758	1931	2007	169500
9375	2003	2008	250000
10800	1885	2007	100000
6000	1948	2008	115000
8500	1919	2007	115000
11751	1977	2010	190000
9525	1954	2006	136900
7750	2000	2010	180000
9965	2007	2007	383970
21000	1953	2007	217000
7259	1945	2007	259500
3230	1999	2007	176000
11616	1962	2009	139000
8536	2006	2007	155000
12376	1990	2010	320000
8461	2005	2006	163990
21453	1969	2006	180000
6060	1939	2007	100000
9464	1958	2008	136000
7892	1993	2008	153900
17043	1979	2009	181000
6780	1935	2006	84500
4928	1976	2007	128000
4388	1930	2007	87000
7590	1966	2006	155000
8973	1958	2006	150000
14200	1966	2006	226000
12224	2000	2009	244000
7388	1959	2007	150750
6853	2001	2009	220000
10335	1968	2006	180000
10400	1970	2008	174000
10355	1967	2007	143000
11070	1988	2006	171000
9066	1999	2008	230000
15426	1997	2009	231500
10500	1971	2010	115000
11645	2005	2006	260000
8520	1952	2010	166000
10335	1999	2009	204000
9100	1963	2006	125000
2522	2004	2006	130000
6120	1931	2009	105000
9505	2001	2010	222500
7500	2004	2008	141000
6240	1936	2006	115000
10356	1975	2007	122000
13891	2007	2008	372402
14803	1971	2006	190000
13500	1960	2008	235000
11340	1923	2006	125000
9600	1924	2008	79000
7200	1950	2006	109500
12003	2009	2010	269500
12552	2004	2010	254900
19378	2005	2006	320000
11120	1984	2008	162500
13688	2003	2008	412500
12182	2005	2010	220000
5500	1956	2007	103200
5400	1926	2007	152000
10106	1940	2008	127500
10708	1955	2009	190000
10562	2007	2007	325624
8244	2004	2007	183500
16669	1981	2006	228000
12358	1941	2007	128500
31770	1960	2010	215000
5306	1987	2006	239000
10197	1961	2008	163000
12416	1986	2008	184000
12615	1950	2007	243000
10029	1988	2007	211000
13650	1958	2006	172500
17423	2008	2009	501837
8520	1923	2007	100000
2117	2000	2007	177000
7588	1920	2006	200100
9060	1957	2007	120000
11426	2003	2008	200000
7438	1908	2006	127000
22950	1892	2006	475000
9947	1990	2009	173000
10410	1916	2009	135000
7018	1979	2009	153337
4923	2001	2008	286000
10570	1932	2007	315000
7472	1972	2007	184000
9017	1999	2009	192000
2522	2004	2006	130000
7180	1972	2008	127000
2280	1976	2009	148500
9416	2007	2007	311872
25419	1918	2006	235000
5520	1912	2009	104000
9591	2004	2009	274900
8546	2003	2010	140000
10125	1977	2008	171500
7000	1924	2006	112000
4438	2004	2008	149000
3500	1947	2009	110000
11851	1990	2009	180500
13673	1962	2007	143900
12493	1960	2008	141000
14364	1988	2007	277000
8250	1964	2008	145000
5604	1925	2008	98000
10420	2009	2010	186000
8640	2009	2009	252678
13568	1995	2006	156000
10900	1977	2010	161750
10011	1957	2006	134450
8450	2004	2008	210000
9906	1925	2006	107000
15660	1939	2008	311500
3010	2005	2006	167240
8990	2006	2006	204900
8068	2002	2009	200000
11475	1975	2006	179900
10500	1971	2009	97000
13472	2003	2009	386250
1680	1971	2009	112000
9950	1995	2007	290000
1869	1970	2008	106000
8521	1967	2010	125000
3182	2005	2009	192500
8760	1959	2010	148000
15138	1995	2009	403000
1680	1972	2006	94500
10650	1976	2010	128200
7851	2002	2010	216500
1680	1971	2008	89500
8773	2004	2010	185500
9453	1993	2010	194500
12030	2007	2007	318000
8741	1945	2010	113000
9000	2008	2010	262500
3880	1945	2007	110500
5000	1900	2006	79000
10762	1980	2009	120000
8880	1994	2010	205000
10400	1988	2006	241500
9142	1910	2006	137000
11310	1954	2006	140000
11317	2003	2007	180000
159000	1958	2007	277000
5350	1940	2010	76500
4750	2006	2007	235000
8366	2004	2008	173000
9350	1964	2007	158000
8400	1957	2010	145000
8738	1999	2006	230000
8791	2003	2008	207500
8814	2006	2009	220000
12435	2001	2008	231500
12702	1956	2008	97000
19296	1962	2009	176000
9588	2007	2007	276000
8471	1977	2006	151000
5500	1929	2010	130000
5232	1925	2008	73000
12090	1981	2008	175500
11207	1997	2006	185000
8400	1939	2008	179500
6900	1940	2008	120500
7917	1976	2007	148000
10728	2006	2006	266000
39104	1954	2008	241500
11764	1999	2010	290000
9600	1958	2009	139000
8314	1982	2007	124500
7264	1925	2009	205000
9196	2003	2010	201000
19138	1951	2010	141000
14450	2006	2007	415298
10005	1977	2008	192000
11287	1989	2007	228500
7200	2006	2006	185000
5063	2007	2009	207500
9612	2008	2009	244600
8012	1992	2007	179200
4251	2006	2007	164700
9786	1962	2006	159000
8125	1971	2006	88000
9819	1967	2010	122000
8730	1915	2007	153575
15611	2006	2006	233230
5687	1912	2008	135900
11409	1949	2009	131000
16659	1977	2006	235000
9600	1953	2009	167000
7937	1984	2006	142500
13710	1950	2007	152000
7399	1997	2007	239000
11700	1968	2007	175000
14000	1950	2009	158500
15750	1953	2006	157000
16226	1998	2007	267000
13704	2001	2006	205000
9800	1972	2006	149900
18386	1880	2008	295000
10386	2004	2007	305900
13474	1990	2007	225000
7920	1920	2008	89500
12342	1940	2009	82500
12378	2003	2006	360000
7685	1993	2006	165600
8000	1948	2009	132000
7800	1939	2006	119900
215245	1965	2009	375000
9600	1925	2006	178000
7795	2004	2009	188500
13005	1980	2009	260000
9000	2006	2007	270000
9900	1993	2009	260000
14115	1980	2009	187500
16259	2006	2006	342643
12099	2004	2007	354000
10380	1986	2007	301000
5820	1955	2006	126175
11275	1967	2010	242000
5000	1941	2007	87000
10846	1993	2008	324000
11600	1960	2006	145250
11888	1916	2009	214500
6402	1920	2009	78000
10624	1964	2007	119000
8176	1958	2007	139000
10655	2003	2009	284000
8198	2004	2008	207000
9042	1998	2008	192000
164660	1965	2008	228950
14157	2005	2007	377426
9135	2002	2008	214000
14145	1984	2006	202500
12400	1958	2009	155000
14191	2002	2010	202900
8400	1950	2009	82000
8544	1949	2006	87500
8849	2005	2008	266000
2592	1976	2010	85000
6435	1939	2006	140200
12772	1960	2007	151500
17600	1960	2009	157500
2448	2003	2008	154000
20431	2005	2006	437154
7820	2007	2007	318061
5271	1986	2006	190000
9084	1941	2008	95000
8520	1928	2010	105900
8400	1940	2006	140000
11249	1995	2007	177500
9248	1992	2009	173000
4224	1976	2007	134000
6930	1958	2006	130000
12011	1998	2006	280000
7540	1978	2007	156000
9144	1940	2008	145000
7301	2003	2009	198500
1680	1972	2009	118000
18800	1976	2006	190000
10690	1920	2009	147000
9500	1963	2009	159000
9150	1962	2008	165000
7800	1954	2010	132000
9830	1959	2010	162000
8121	2000	2006	172400
17120	1959	2008	134432
7175	1984	2010	125000
10634	1953	2009	123000
8200	2003	2007	219500
10020	1922	2009	61000
8846	1996	2006	148000
11143	2004	2007	340000
11394	2010	2010	394432
8123	2000	2009	179000
5000	1924	2010	127000
7200	2006	2006	187750
9245	2006	2007	213500
9000	1928	2009	76000
53107	1992	2007	240000
3182	2004	2010	192000
8410	1910	2006	81000
7200	1976	2009	125000
9382	1999	2008	191000
12474	2007	2008	426000
8405	1900	2008	119000
12209	2001	2009	215000
8339	1959	2007	106500
7446	1941	2006	100000
10134	1940	2007	109000
9571	1956	2010	129000
7200	1972	2009	123000
7590	1962	2007	169500
8967	1920	2007	67000
8125	2006	2009	241000
14963	1996	2008	245500
8767	2005	2006	164990
10200	1940	2008	108000
12090	1998	2006	258000
10364	1995	2007	168000
9991	1976	2009	150000
10480	1936	2008	115000
15576	1915	2008	177000
14154	2006	2007	280000
10800	2007	2008	339750
9571	1958	2009	60000
34650	1955	2006	145000
4403	2009	2010	222000
8960	1927	2010	115000
11228	1993	2008	228000
8899	2007	2007	181134
7844	1978	2006	149500
22420	1918	2007	239000
8160	1940	2007	126000
8450	1968	2010	142000
7060	1997	2008	206300
16635	1977	2009	215000
21750	1954	2008	113000
9200	1998	2008	315000
